Modele;Nombre de passage;Categorie;Precision
savane128_1p;1;elephant;30
savane128_2p;2;elephant;20
savane128_3p;3;elephant;30
savane128_4p;4;elephant;30
savane128_5p;5;elephant;25
savane128_10p;10;elephant;25
savane128_15p;15;elephant;30
savane128_20p;20;elephant;15
savane128_25p;25;elephant;35
savane128_1p;1;gazelle_grant;60
savane128_2p;2;gazelle_grant;30
savane128_3p;3;gazelle_grant;35
savane128_4p;4;gazelle_grant;85
savane128_5p;5;gazelle_grant;75
savane128_10p;10;gazelle_grant;55
savane128_15p;15;gazelle_grant;90
savane128_20p;20;gazelle_grant;60
savane128_25p;25;gazelle_grant;55
savane128_1p;1;gazelle_thomson;45
savane128_2p;2;gazelle_thomson;75
savane128_3p;3;gazelle_thomson;55
savane128_4p;4;gazelle_thomson;65
savane128_5p;5;gazelle_thomson;60
savane128_10p;10;gazelle_thomson;55
savane128_15p;15;gazelle_thomson;60
savane128_20p;20;gazelle_thomson;40
savane128_25p;25;gazelle_thomson;50
savane128_1p;1;giraffe;75
savane128_2p;2;giraffe;80
savane128_3p;3;giraffe;65
savane128_4p;4;giraffe;65
savane128_5p;5;giraffe;70
savane128_10p;10;giraffe;80
savane128_15p;15;giraffe;45
savane128_20p;20;giraffe;70
savane128_25p;25;giraffe;75
savane128_1p;1;Global;33
savane128_2p;2;Global;35
savane128_3p;3;Global;30
savane128_4p;4;Global;44
savane128_5p;5;Global;41
savane128_10p;10;Global;40
savane128_15p;15;Global;39
savane128_20p;20;Global;31
savane128_25p;25;Global;39
savane128_1p;1;hyppopotame;5
savane128_2p;2;hyppopotame;5
savane128_3p;3;hyppopotame;0
savane128_4p;4;hyppopotame;15
savane128_5p;5;hyppopotame;10
savane128_10p;10;hyppopotame;15
savane128_15p;15;hyppopotame;10
savane128_20p;20;hyppopotame;5
savane128_25p;25;hyppopotame;10
savane128_1p;1;leopard;72
savane128_2p;2;leopard;50
savane128_3p;3;leopard;55
savane128_4p;4;leopard;61
savane128_5p;5;leopard;55
savane128_10p;10;leopard;55
savane128_15p;15;leopard;61
savane128_20p;20;leopard;72
savane128_25p;25;leopard;61
savane128_1p;1;lion;5
savane128_2p;2;lion;30
savane128_3p;3;lion;20
savane128_4p;4;lion;45
savane128_5p;5;lion;50
savane128_10p;10;lion;45
savane128_15p;15;lion;30
savane128_20p;20;lion;10
savane128_25p;25;lion;55
savane128_1p;1;monkey;11
savane128_2p;2;monkey;16
savane128_3p;3;monkey;5
savane128_4p;4;monkey;22
savane128_5p;5;monkey;22
savane128_10p;10;monkey;22
savane128_15p;15;monkey;11
savane128_20p;20;monkey;0
savane128_25p;25;monkey;5
savane128_1p;1;rhinoceros;0
savane128_2p;2;rhinoceros;15
savane128_3p;3;rhinoceros;5
savane128_4p;4;rhinoceros;15
savane128_5p;5;rhinoceros;5
savane128_10p;10;rhinoceros;10
savane128_15p;15;rhinoceros;15
savane128_20p;20;rhinoceros;10
savane128_25p;25;rhinoceros;5
